iter	Passed	Remaining
0	134	13322
1	181	8892
2	234	7571
3	295	7081
4	360	6852
5	422	6614
6	474	6300
7	526	6057
8	578	5853
9	674	6074
10	758	6137
11	809	5933
12	853	5710
13	898	5517
14	939	5323
15	981	5154
16	1024	5003
17	1071	4881
18	1113	4745
19	1156	4624
20	1199	4513
21	1242	4403
22	1282	4294
23	1324	4194
24	1370	4111
25	1411	4016
26	1453	3929
27	1495	3844
28	1538	3767
29	1580	3686
30	1623	3613
31	1753	3725
32	1801	3657
33	1843	3578
34	1887	3505
35	1931	3432
36	1967	3349
37	2010	3280
38	2055	3215
39	2097	3145
40	2136	3075
41	2177	3006
42	2214	2935
43	2253	2868
44	2293	2803
45	2335	2742
46	2375	2679
47	2416	2617
48	2458	2558
49	2497	2497
50	2536	2436
51	2574	2376
52	2612	2316
53	2651	2258
54	2692	2202
55	2734	2148
56	2774	2092
57	2810	2034
58	2848	1979
59	2891	1927
60	2929	1872
61	2967	1818
62	3007	1766
63	3047	1714
64	3089	1663
65	3129	1612
66	3170	1561
67	3210	1510
68	3247	1458
69	3287	1408
70	3327	1359
71	3366	1309
72	3404	1259
73	3440	1208
74	3475	1158
75	3514	1109
76	3549	1060
77	3585	1011
78	3623	963
79	3655	913
80	3692	866
81	3728	818
82	3760	770
83	3795	722
84	3832	676
85	3867	629
86	3902	583
87	3936	536
88	3977	491
89	4014	446
90	4046	400
91	4083	355
92	4120	310
93	4147	264
94	4175	219
95	4206	175
96	4234	130
97	4267	87
98	4298	43
99	4330	0
